,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,round,score,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,start_date,tournament_link,tournament_name
103,H2H 1-0,Gustavo Kuerten,16.0,2.0,5513533.0,106915.0,,,Gustavo Kuerten,140.0,13.0,4.0,146.0,48.0,142.0,79.0,64.0,63.0,28.0,,,172.0,136.0,194.0,1.0,288.0,42.0,49.0,R128,5-7 6-2 6-2 4-6 7-6(1),Dmitry Tursunov,13.0,5.0,5513533.0,106916.0,,,Dmitry Tursunov,148.0,10.0,6.0,142.0,50.0,146.0,79.0,59.0,67.0,39.0,,,188.0,143.0,213.0,2.0,288.0,42.0,56.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
104,H2H 2-0,Christophe Rochus,0.0,8.0,5513534.0,106949.0,,,Christophe Rochus,53.0,2.0,0.0,66.0,19.0,74.0,38.0,22.0,36.0,12.0,,,,,,1.0,140.0,,,R128,6-0 6-2 6-2,John van Lottum,6.0,4.0,5513534.0,106950.0,,,John van Lottum,87.0,11.0,7.0,74.0,40.0,66.0,34.0,28.0,32.0,19.0,,,,,,2.0,140.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
105,H2H 2-1,Olivier Rochus,0.0,2.0,5513535.0,106924.0,,,Olivier Rochus,72.0,2.0,1.0,81.0,23.0,92.0,60.0,36.0,32.0,13.0,,,160.0,135.0,175.0,2.0,173.0,34.0,11.0,R128,6-3 6-4 6-2,Xavier Malisse,19.0,3.0,5513535.0,106923.0,,,Xavier Malisse,101.0,11.0,5.0,92.0,43.0,81.0,43.0,33.0,38.0,25.0,,,181.0,141.0,202.0,1.0,173.0,28.0,41.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
106,H2H 2-1,Werner Eschauer,10.0,4.0,5513536.0,106935.0,,,Werner Eschauer,123.0,8.0,3.0,126.0,36.0,121.0,69.0,59.0,52.0,28.0,,,,,,1.0,247.0,,,R128,7-6(4) 7-6(2) 1-6 6-4,Agustin Calleri,13.0,6.0,5513536.0,106936.0,,,Agustin Calleri,124.0,8.0,2.0,121.0,34.0,126.0,70.0,56.0,56.0,34.0,,,,,,2.0,247.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
107,H2H 3-1,Vince Spadea,4.0,10.0,5513537.0,106917.0,,,Vince Spadea,135.0,12.0,6.0,139.0,57.0,154.0,79.0,47.0,75.0,31.0,,,172.0,130.0,196.0,1.0,293.0,73.0,31.0,R128,6-3 6-1 5-7 7-6(8),Flavio Saretta,9.0,13.0,5513537.0,106918.0,,,Flavio Saretta,158.0,17.0,9.0,154.0,76.0,139.0,72.0,52.0,67.0,30.0,,,175.0,136.0,194.0,2.0,293.0,74.0,49.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
108,H2H 3-0,Karol Beck,12.0,9.0,5513538.0,106947.0,,,Karol Beck,159.0,20.0,9.0,170.0,76.0,147.0,68.0,45.0,79.0,38.0,,,,,,1.0,317.0,,,R128,4-6 6-3 7-5 3-6 6-4,Nicolas Lapentti,16.0,6.0,5513538.0,106948.0,,,Nicolas Lapentti,158.0,12.0,10.0,147.0,64.0,170.0,105.0,67.0,65.0,27.0,,,,,,2.0,317.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
109,H2H 3-2,Paul-Henri Mathieu,4.0,9.0,5513539.0,106932.0,,,Paul-Henri Mathieu,87.0,5.0,2.0,99.0,34.0,97.0,43.0,27.0,54.0,26.0,,,,,,2.0,196.0,,,R128,6-4 6-2 7-5,Ivan Ljubicic,24.0,8.0,5513539.0,106931.0,,,Ivan Ljubicic,109.0,12.0,6.0,97.0,44.0,99.0,45.0,38.0,54.0,27.0,,,,,,1.0,196.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
110,H2H 2-3,Tim Henman,2.0,6.0,5513540.0,106911.0,,,Tim Henman,83.0,5.0,2.0,89.0,27.0,103.0,65.0,41.0,38.0,15.0,,,173.0,136.0,197.0,1.0,192.0,32.0,30.0,R128,6-3 7-6(2) 6-3,Andy Roddick,6.0,3.0,5513540.0,106912.0,,,Andy Roddick,109.0,14.0,6.0,103.0,47.0,89.0,58.0,41.0,31.0,21.0,,,186.0,160.0,225.0,2.0,192.0,24.0,36.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
111,H2H 2-0,Scott Draper,6.0,3.0,5513541.0,106964.0,,,Scott Draper,128.0,11.0,2.0,139.0,38.0,127.0,78.0,57.0,49.0,33.0,,,176.0,133.0,193.0,2.0,266.0,26.0,33.0,R128,4-6 6-4 7-5 7-6(6),Carlos Moya,26.0,5.0,5513541.0,106963.0,,,Carlos Moya,138.0,4.0,3.0,127.0,37.0,139.0,87.0,69.0,52.0,32.0,,,191.0,154.0,212.0,1.0,266.0,51.0,69.0,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
112,H2H 1-0,Albert Montanes,5.0,4.0,5513542.0,106984.0,,,Albert Montanes,65.0,0.0,0.0,72.0,12.0,93.0,49.0,34.0,44.0,19.0,,,,,,2.0,165.0,,,R128,7-6(3) 6-2 6-2,Wesley Moodie,11.0,3.0,5513542.0,106983.0,,,Wesley Moodie,100.0,10.0,4.0,93.0,40.0,72.0,41.0,37.0,31.0,23.0,,,,,,1.0,165.0,,,2003-08-25,https://matchstat.com/tennis/tournaments/m/US%20Open/2003,US Open
