,h2h,loser,round,score,start_date,surface,tournament_link,tournament_name,winner
63,H2H 1-0,Ann Henricksson,R32,6-3 4-6 6-3,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Felicia Raschiatore
64,H2H 1-0,Sherry Acker,R32,7-5 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Jenny Klitch
65,H2H 1-0,Paula Smith,R32,1-6 6-4 7-6,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Kathleen Cummings
66,H2H 1-0,Edie Carell,R32,6-2 6-0,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Amy Holton
67,H2H 1-1,Marcela Skuherska,R32,6-1 6-0,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Vicki Nelson-Dunbar
68,H2H 2-0,Kate Latham,R32,6-2 3-6 7-5,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Lucia Romanov
69,H2H 1-0,Sabina Simmonds,R32,6-3 6-4,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Marie-Christine Calleja
70,H2H 2-0,Katerina Bohmova,R32,6-3 6-0,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Kathrin Keil
71,H2H 1-0,Barbara Gerken,R32,4-6 7-6 7-5,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Pam Teeguarden
72,H2H 3-0,Candy Reynolds,R32,0-6 7-5 6-3,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Nancy Yeargin
73,H2H 1-0,Anne Minter,R32,6-2 6-3,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Rina Einy
74,H2H 1-0,Beverly Bowes-Hackney,R32,7-5 2-6 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Trey Lewis
75,H2H 1-0,Jean Hepner,R32,5-7 6-0 6-1,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Sandra Cecchini
76,H2H 2-0,Corinne Vanier,R32,6-7 6-4 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,Emilse Rapponi-Longo
77,,M Daniels / P Smith,F,5-7 7-6 7-6,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,S Acker / C Reynolds
78,,K Keil / L Romanov,SF,6-1 6-0,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,S Acker / C Reynolds
79,,K Cummings / R White,SF,6-4 7-6,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,M Daniels / P Smith
80,,K Bohmova / M Skuherska,QF,6-4 6-3,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,S Acker / C Reynolds
81,,L Bernstein / S Simmonds,QF,6-3 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,K Keil / L Romanov
82,,S Margolin / F Raschiatore,QF,7-5 6-0,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,K Cummings / R White
83,,A Henricksson / N Yeargin,QF,7-6 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,M Daniels / P Smith
84,,A Brown / J Wright,R16,7-5 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,S Acker / C Reynolds
85,,A Croft / S Goles,R16,6-4 4-6 6-1,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,K Bohmova / M Skuherska
86,,A Holton / K Holton,R16,6-3 6-3,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,K Keil / L Romanov
87,,S Gomer / E Jones,R16,7-6 6-7 6-0,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,L Bernstein / S Simmonds
88,,G Coles / K Latham,R16,6-3 6-4,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,K Cummings / R White
89,,A Minter / C Vanier,R16,6-4 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,S Margolin / F Raschiatore
90,,J Klitch / E Rapponi-longo,R16,6-3 6-2,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,A Henricksson / N Yeargin
91,,T Lewis / T Mochizuki,R16,6-2 6-0,1984-01-02,hard,https://matchstat.com/tennis/tournaments/w/Nashville/1984,Nashville,M Daniels / P Smith
92,H2H 8-29,Martina Navratilova,F,7-6 3-6 6-4,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Hana Mandlikova
93,H2H 26-6,Helena Sukova,SF,6-2 6-1,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Martina Navratilova
94,H2H 7-2,Pam Shriver,SF,6-2 6-3,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Hana Mandlikova
95,H2H 33-1,Zina Garrison-Jackson,QF,6-1 6-1,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Martina Navratilova
96,H2H 7-2,Eva Pfaff,QF,6-3 6-4,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Helena Sukova
97,H2H 11-4,Bettina Bunge,QF,6-3 6-2,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Pam Shriver
98,H2H 7-5,Andrea Jaeger,QF,7-6 6-4,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Hana Mandlikova
99,H2H 4-0,Pam Casale-Telford,R16,6-1 6-3,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Martina Navratilova
100,H2H 2-1,Anne White,R16,7-6 6-1,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Zina Garrison-Jackson
101,H2H 1-2,Anne Smith,R16,6-2 7-6,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Eva Pfaff
102,H2H 2-0,Sharon Walsh-Pete,R16,4-6 6-1 6-1,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Helena Sukova
103,H2H 2-0,Lisa Bonder-Kreiss,R16,6-2 7-6,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Bettina Bunge
104,H2H 7-2,Manuela Maleeva-Fragniere,R16,6-3 6-2,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Pam Shriver
105,H2H 3-1,Bonnie Gadusek,R16,6-1 6-7 6-2,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Hana Mandlikova
106,H2H 5-0,Kathy Rinaldi,R16,6-3 6-3,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Andrea Jaeger
107,H2H 10-1,Kathy Horvath,R32,6-2 6-0,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Martina Navratilova
108,H2H 2-1,Wendy Prausa,R32,6-0 6-4,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Pam Casale-Telford
109,H2H 1-0,Jenny Klitch,R32,7-6 2-6 6-4,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Anne White
110,H2H 5-0,Christiane Jolissaint,R32,6-0 6-1,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Zina Garrison-Jackson
111,H2H 4-4,Sylvia Hanika,R32,7-5 Retired,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Anne Smith
112,H2H 1-0,Yvonne Vermaak,R32,4-6 6-0 6-1,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Eva Pfaff
113,H2H 2-0,Joanne Russell,R32,6-2 3-6 6-3,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Helena Sukova
114,H2H 2-7,Wendy Turnbull,R32,6-3 1-6 6-2,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Sharon Walsh-Pete
115,H2H 5-2,Elise Burgin,R32,6-2 6-1,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Bettina Bunge
116,H2H 3-1,Virginia Ruzici,R32,7-5 7-6,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Lisa Bonder-Kreiss
117,H2H 2-1,Kimberly Shaefer,R32,7-6 6-2,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Manuela Maleeva-Fragniere
118,H2H 2-0,Sandra Cecchini,R32,6-1 6-2,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Pam Shriver
119,H2H 5-2,Alycia Moulton,R32,6-2 6-4,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Hana Mandlikova
120,H2H 4-1,Claudia Kohde-Kilsch,R32,7-5 6-4,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Bonnie Gadusek
121,H2H 1-0,Kathleen Cummings,R32,6-3 6-0,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Kathy Rinaldi
122,H2H 1-0,Pam Teeguarden,R32,6-3 6-3,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,Andrea Jaeger
123,,R Casals / A Moulton,F,6-2 6-3,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,M Navratilova / P Shriver
124,,A Hobbs / W Turnbull,SF,6-2 3-6 7-5,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,M Navratilova / P Shriver
125,,B Bunge / E Pfaff,SF,4-6 6-3 6-2,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,R Casals / A Moulton
126,,H Mandlikova / H Sukova,QF,6-3 6-1,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,M Navratilova / P Shriver
127,,L Allen / A Smith,QF,6-3 6-1,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,A Hobbs / W Turnbull
128,,K Rinaldi / V Ruzici,QF,6-1 6-2,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,B Bunge / E Pfaff
129,,S Collins / K Horvath,QF,6-4 6-4,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,R Casals / A Moulton
130,,P Teeguarden / Y Vermaak,R16,6-1 6-4,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,M Navratilova / P Shriver
131,,C Jolissaint / C Kohde-Kilsch,R16,6-1 7-6,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,H Mandlikova / H Sukova
132,,E Burgin / J Russell,R16,6-3 7-6,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,L Allen / A Smith
133,,L Allen / A White,R16,6-4 6-2,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,A Hobbs / W Turnbull
134,,B Gadusek / W Prausa,R16,7-6 6-1,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,B Bunge / E Pfaff
135,,L Bonder-Kreiss / A Jaeger,R16,7-5 6-3,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,K Rinaldi / V Ruzici
136,,I Kloss / H Ludloff,R16,6-3 7-5,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,R Casals / A Moulton
137,,B King / S Walsh-pete,R16,6-0 3-6 6-4,1984-01-09,carpet,https://matchstat.com/tennis/tournaments/w/Oakland/1984,Oakland,S Collins / K Horvath
138,H2H 1-1,Beth Herr,F,6-4 6-0,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Catarina Lindqvist
139,H2H 4-3,Camille Benjamin,SF,4-6 6-2 6-2,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Beth Herr
140,H2H 1-0,Amanda Brown,SF,6-3 6-1,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Catarina Lindqvist
141,H2H 1-2,Kathrin Keil,QF,6-1 7-5,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Beth Herr
142,H2H 2-1,Laura Arraya,QF,2-6 6-2 6-4,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Camille Benjamin
143,H2H 1-1,Anne Minter,QF,0-6 7-6 7-6,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Amanda Brown
144,H2H 4-0,Mary-Lou Daniels,QF,6-3 6-1,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Catarina Lindqvist
145,H2H 1-0,Candy Reynolds,R16,6-3 6-3,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Beth Herr
146,H2H 1-0,Kim Sands,R16,6-4 7-5,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Kathrin Keil
147,H2H 1-0,Marie-Christine Calleja,R16,6-3 6-3,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Camille Benjamin
148,H2H 1-1,Stephanie Rehe,R16,6-7 6-0 6-3,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Laura Arraya
149,H2H 2-0,Paula Smith,R16,7-6 6-1,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Anne Minter
150,H2H 1-1,Corinne Vanier,R16,6-2 2-6 6-3,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Amanda Brown
151,H2H 1-0,Molly Van Nostrand,R16,6-3 7-6,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Catarina Lindqvist
152,H2H 2-0,Katerina Bohmova,R16,7-5 6-3,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Mary-Lou Daniels
153,H2H 1-0,Catrin Jexell,R32,5-7 6-2 6-3,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Beth Herr
154,H2H 2-0,Felicia Raschiatore,R32,6-2 6-4,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Candy Reynolds
155,H2H 1-0,Sabina Simmonds,R32,6-2 4-6 6-4,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Kathrin Keil
156,H2H 1-1,Sherry Acker,R32,6-4 6-7 7-6,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Kim Sands
157,H2H 1-0,Barbara Gerken,R32,7-6 6-3,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Camille Benjamin
158,H2H 1-0,Gigi Fernandez,R32,6-3 6-4,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Marie-Christine Calleja
159,H2H 3-0,Nathalie Herreman,R32,6-4 7-6,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Stephanie Rehe
160,H2H 1-0,Pascale Paradis-Mangon,R32,7-5 4-6 7-6,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Laura Arraya
161,H2H 1-1,Mareen Harper,R32,6-4 7-5,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Paula Smith
162,H2H 1-0,Lucia Romanov,R32,6-1 6-1,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Anne Minter
163,H2H 1-2,Claudia Monteiro,R32,7-6 2-6 7-5,1984-01-09,hard,https://matchstat.com/tennis/tournaments/w/Hershey/1984,Hershey,Amanda Brown
