,h2h,loser,round,score,winner,start_date,tournament_link,tournament_name,surface
72,H2H 2-0,John Frawley,R32,6-4 6-3 6-1,Stefan Edberg,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
73,H2H 2-2,Brad Gilbert,R32,4-6 6-2 6-3 6-1,Derrick Rostagno,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
74,H2H 5-0,Brad Pearce,R32,6-2 6-2 6-4,Kelly Evernden,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
75,H2H 2-2,Christo Van Rensburg,R32,6-3 2-6 7-5 4-6 6-0,Wally Masur,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
76,H2H 4-1,Slobodan Zivojinovic,R32,6-3 6-3 3-6 6-3,Boris Becker,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
77,H2H 1-0,Danny Saltz,R64,6-4 3-6 6-1 6-1,Ivan Lendl,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
78,H2H 1-2,Amos Mansdorf,R64,7-6 6-3 3-6 6-3,Matt Anger,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
79,H2H 1-0,Russell Simpson,R64,6-3 7-6 7-6,Dan Goldie,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
80,H2H 4-0,Eddie Edwards,R64,4-6 5-7 6-1 6-3 6-3,Ramesh Krishnan,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
81,H2H 2-0,Johan Carlsson,R64,6-0 7-5 6-0,Anders Jarryd,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
82,H2H 1-0,Bruce Derlin,R64,6-1 3-0 Retired,Thierry Champion,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
83,H2H 2-0,Bill Scanlon,R64,6-3 1-6 7-5 7-6,Peter Doohan,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
84,H2H 1-2,John Fitzgerald,R64,7-5 6-2 6-7 4-6 6-3,Kevin Curren,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
85,H2H 1-0,David Macpherson,R64,4-6 6-1 6-4 6-4,Yannick Noah,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
86,H2H 1-1,Scott Davis,R64,4-6 6-1 6-7 6-2 6-3,Bud Schultz,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
87,H2H 1-0,Nicholas Fulwood,R64,6-4 4-6 4-6 7-5 9-7,Mark Edmondson,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
88,H2H 1-0,Shane Barr,R64,6-2 6-2 3-6 7-6,Tim Wilkison,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
89,H2H 1-0,Claudio Pistolesi,R64,7-5 2-6 7-6 6-2,Pat Cash,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
90,H2H 2-0,Michiel Schapers,R64,7-6 6-1 6-4,Ben Testerman,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
91,H2H 1-0,Steve Wood,R64,6-7 4-6 6-3 6-2 6-4,Paul Annacone,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
92,H2H 1-0,Todd Nelson,R64,4-6 7-6 6-2 6-3,Henri Leconte,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
93,H2H 2-1,Jeremy Bates,R64,4-6 6-2 6-1 6-3,Miloslav Mecir,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
94,H2H 2-0,Mark Woodforde,R64,7-5 5-7 4-6 7-6 6-4,Gary Muller,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
95,H2H 1-0,Marty Davis,R64,6-4 6-2 6-4,Mark Kratzmann,1987-01-12,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1987,Australian Open,grass
