,h2h,loser,round,score,start_date,tournament_link,tournament_name,winner
49,H2H 1-0,John Trickey,R64,7-6 6-2 4-6 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,John Bartlett
50,H2H 2-0,Bob Carmichael,R64,6-4 6-3 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Mark Edmondson
51,H2H 1-0,Chris Kachel,R64,6-3 6-2 6-0,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Erik Van Dillen
52,H2H 1-0,Chico Hagey,R64,7-6 2-6 6-3 3-6 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,M. Riessen
53,H2H 1-0,Peter Campbell,R64,6-0 6-4 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Ion Tiriac
54,H2H 3-0,Syd Ball,R64,6-2 6-3 7-5,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,K. Rosewall
55,H2H 1-0,Grover Reid,R64,6-7 6-3 6-4 7-6,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Sherwood Stewart
56,H2H 4-0,John James,R64,7-5 7-6 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,P. Dent
57,H2H 1-0,John Marks,R64,6-4 3-6 6-2 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Werner Zirngibl
58,H2H 1-0,Victor Amaya,R64,6-3 1-6 7-6 1-6 7-5,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Crealy
59,H2H 1-0,Stephen Myers,R64,6-3 6-2 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,William Lofgren
60,H2H 1-0,Warren Maher,R64,7-6 6-3 6-0,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,T. Roche
61,H2H 1-0,B. Phillips-Moore,R64,6-0 5-7 6-1 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Peter Fleming
62,H2H 9-3,Brian Teacher,R64,6-3 5-7 6-3 7-5,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,Roscoe Tanner
63,,C Pasarell / E Van Dillen,F,6-4 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,A Ashe / T Roche
64,,B Hewitt / S Stewart,SF,6-4 4-6 9-7,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,A Ashe / T Roche
65,,J Alexander / P Dent,SF,6-7 7-6 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,C Pasarell / E Van Dillen
66,,S Ball / K Warwick,QF,4-6 6-1 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,B Hewitt / S Stewart
67,,R Case / G Masters,QF,7-6 5-7 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,A Ashe / T Roche
68,,C Dibley / C Kachel,QF,3-6 6-1 9-7,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,C Pasarell / E Van Dillen
69,,M Riessen / R Tanner,QF,7-6 7-5,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,J Alexander / P Dent
70,,C Lewis / R Simpson,R16,4-6 6-2 9-7,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,B Hewitt / S Stewart
71,,T Gorman / D Stockton,R16,6-3 6-7 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,S Ball / K Warwick
72,,I Tiriac / G Vilas,R16,7-5 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,R Case / G Masters
73,,J Feaver / J James,R16,6-4 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,A Ashe / T Roche
74,,R Drysdale / R Lewis,R16,6-3 7-5,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,C Dibley / C Kachel
75,,S Myers / J Smith,R16,6-1 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,C Pasarell / E Van Dillen
76,,D Bohrnstedt / M Machette,R16,6-3 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,J Alexander / P Dent
77,,H Pfister / N Saviano,R16,7-5 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,M Riessen / R Tanner
78,,D Carter / W Maher,R32,6-3 6-4,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,B Hewitt / S Stewart
79,,M Edmondson / J Marks,R32,6-2 7-5,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,C Lewis / R Simpson
80,,B Carmichael / K Rosewall,R32,7-5 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,T Gorman / D Stockton
81,,V Amaya / S Docherty,R32,6-3 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,S Ball / K Warwick
82,,J Holladay / B Teacher,R32,4-6 7-5 6-3,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,R Case / G Masters
83,,B Giltinan / J Trickey,R32,7-6 6-2,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,I Tiriac / G Vilas
84,,J Bartlett / A Gardiner,R32,6-2 6-1,1977-01-03,https://matchstat.com/tennis/tournaments/m/Australian%20Open/1977,Australian Open,A Ashe / T Roche
