,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,start_date,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners,surface
5140,,B Becker / M Berrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QF,7-6(5) 6-4,2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,M Chiudinelli / G Garcia-Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5141,,M Bhupathi / L Paes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-6(5) 6-7(5) [10-4],2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,D Brands / I Dodig,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5142,,T Gabashvili / D Udomchoke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-4 7-5,2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,D Tursunov / K Wachiramanowong,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5143,,B Battistone / A Siljestrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-3 6-4,2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,J Erlich / J Melzer,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5144,,M Kukushkin / F Serra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,4-6 6-3 [11-9],2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,M Kohlmann / J Nieminen,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5145,,S Ratiwatana / S Ratiwatana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-4 6-4,2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,C Kas / V Troicki,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5146,,S Aspelin / P Hanley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,7-6(5) 7-6(3),2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,C Fleming / K Skupski,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5147,,M Lopez / D Marrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,6-7(6) 6-4 [10-5],2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,M Chiudinelli / G Garcia-Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5148,,J Knowle / A Ram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R16,5-7 7-6(4) [11-9],2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,B Becker / M Berrer,,,,,,,,,,,,,,,,,,,,,,,,,,,hard
5149,H2H 1-2,Dmitry Tursunov,7.0,3.0,5966787.0,147838.0,,1.45,Dmitry Tursunov,108.0,2.0,1.0,107.0,26.0,122.0,76.0,57.0,46.0,25.0,,,,,,2.0,229.0,,,1.45,2.8,FQ,6-7(6) 7-6(4) 7-5,2010-09-27,https://matchstat.com/tennis/tournaments/m/Bangkok/2010,Bangkok,Konstantin Kravchuk,17.0,2.0,5966787.0,147837.0,,2.8,Konstantin Kravchuk,121.0,5.0,2.0,122.0,40.0,107.0,71.0,60.0,36.0,21.0,,,,,,1.0,229.0,,,hard
