,h2h,loser,loser_aces,loser_double_faults,loser_match,loser_match_stats_id,loser_net_approaches,loser_odds,loser_player_fullname,loser_points_won,loser_return_break_points_total,loser_return_break_points_won,loser_return_points_total,loser_return_points_won,loser_serve_1st_attempts,loser_serve_1st_total,loser_serve_1st_won,loser_serve_2nd_total,loser_serve_2nd_won,loser_serve_games_total,loser_serve_games_won,loser_serve_speed_1st_avg,loser_serve_speed_2nd_avg,loser_serve_speed_fastest,loser_team,loser_total_points,loser_unforced_errors,loser_winners,odds_loser,odds_winner,round,score,start_date,surface,tournament_link,tournament_name,winner,winner_aces,winner_double_faults,winner_match,winner_match_stats_id,winner_net_approaches,winner_odds,winner_player_fullname,winner_points_won,winner_return_break_points_total,winner_return_break_points_won,winner_return_points_total,winner_return_points_won,winner_serve_1st_attempts,winner_serve_1st_total,winner_serve_1st_won,winner_serve_2nd_total,winner_serve_2nd_won,winner_serve_games_total,winner_serve_games_won,winner_serve_speed_1st_avg,winner_serve_speed_2nd_avg,winner_serve_speed_fastest,winner_team,winner_total_points,winner_unforced_errors,winner_winners
5125,H2H 2-0,Timea Bacsinszky,2.0,3.0,8448912.0,3608557.0,,1.74,Timea Bacsinszky,87.0,13.0,4.0,95.0,42.0,92.0,73.0,36.0,19.0,9.0,13.0,,,,,1.0,190.0,,,1.74,2.0,R32,4-6 6-0 6-4,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Daria Gavrilova,1.0,4.0,8448912.0,3608558.0,,2.0,Daria Gavrilova,103.0,13.0,7.0,95.0,50.0,91.0,59.0,36.0,32.0,17.0,13.0,,,,,2.0,190.0,,
5126,H2H 1-1,Shuai Peng,6.0,4.0,8449045.0,3608926.0,,2.75,Shuai Peng,98.0,6.0,3.0,85.0,26.0,118.0,69.0,45.0,49.0,27.0,15.0,,,,,2.0,207.0,,,2.75,1.44,R32,6-3 3-6 7-6(4),2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Caroline Garcia,10.0,2.0,8449045.0,3608925.0,,1.444,Caroline Garcia,109.0,17.0,3.0,122.0,50.0,83.0,54.0,40.0,29.0,19.0,15.0,,,,,1.0,207.0,,
5127,H2H 6-2,Ekaterina Makarova,1.0,3.0,8448017.0,3608140.0,,3.5,Ekaterina Makarova,60.0,8.0,2.0,73.0,29.0,54.0,32.0,20.0,22.0,11.0,9.0,,,,,2.0,130.0,,,3.5,1.28,R32,6-3 6-4,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Agnieszka Radwanska,4.0,0.0,8448017.0,3608139.0,,1.28,Agnieszka Radwanska,70.0,6.0,4.0,57.0,26.0,73.0,38.0,26.0,35.0,18.0,10.0,,,,,1.0,130.0,,
5128,H2H 4-2,Roberta Vinci,1.0,2.0,8448501.0,3608218.0,,3.4,Roberta Vinci,44.0,1.0,1.0,60.0,21.0,44.0,27.0,15.0,17.0,8.0,8.0,,,,,2.0,106.0,,,3.4,1.3,R32,6-3 6-2,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Caroline Wozniacki,0.0,2.0,8448501.0,3608217.0,,1.3,Caroline Wozniacki,62.0,9.0,4.0,46.0,23.0,58.0,46.0,30.0,12.0,9.0,9.0,,,,,1.0,106.0,,
5129,H2H 2-5,Dominika Cibulkova,0.0,6.0,8447108.0,3607927.0,,1.33,Dominika Cibulkova,89.0,11.0,7.0,86.0,44.0,98.0,64.0,30.0,34.0,15.0,14.0,,,,,1.0,190.0,,,1.33,3.25,R32,6-2 5-7 6-2,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Alize Cornet,0.0,8.0,8447108.0,3607928.0,,3.25,Alize Cornet,101.0,19.0,10.0,104.0,59.0,78.0,53.0,30.0,25.0,12.0,14.0,,,,,2.0,190.0,,
5130,H2H 1-0,Belinda Bencic,5.0,8.0,8447981.0,3608111.0,,1.76,Belinda Bencic,73.0,7.0,3.0,86.0,36.0,56.0,30.0,23.0,26.0,14.0,11.0,,,,,1.0,150.0,,,1.76,2.06,R32,6-4 7-6(4),2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Yaroslava Shvedova,5.0,8.0,8447981.0,3608112.0,,2.06,Yaroslava Shvedova,77.0,7.0,4.0,64.0,27.0,78.0,55.0,37.0,23.0,13.0,11.0,,,,,2.0,150.0,,
5131,H2H 2-1,Daria Kasatkina,2.0,0.0,8448913.0,3608450.0,,2.35,Daria Kasatkina,109.0,13.0,6.0,117.0,49.0,101.0,65.0,34.0,36.0,26.0,16.0,,,,,2.0,218.0,,,2.35,1.59,R32,3-6 7-5 7-6(7),2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Karolina Pliskova,12.0,6.0,8448913.0,3608449.0,,1.59,Karolina Pliskova,109.0,6.0,5.0,101.0,41.0,111.0,63.0,46.0,48.0,22.0,17.0,,,,,1.0,218.0,,
5132,H2H 2-0,Timea Babos,1.0,5.0,8448502.0,3608109.0,,3.1,Timea Babos,51.0,2.0,1.0,52.0,14.0,63.0,32.0,19.0,31.0,18.0,10.0,,,,,1.0,120.0,,,3.1,1.37,R32,7-5 6-2,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Johanna Konta,6.0,0.0,8448502.0,3608110.0,,1.37,Johanna Konta,69.0,10.0,4.0,68.0,31.0,52.0,33.0,25.0,19.0,13.0,10.0,,,,,2.0,120.0,,
5133,H2H 2-2,Alison Riske,0.0,7.0,8448669.0,3608201.0,,2.25,Alison Riske,96.0,9.0,6.0,91.0,40.0,97.0,70.0,38.0,27.0,18.0,15.0,,,,,1.0,195.0,,,2.25,1.67,R32,6-3 4-6 7-6(4),2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Shuai Zhang,3.0,2.0,8448669.0,3608202.0,,1.67,Shuai Zhang,99.0,10.0,6.0,104.0,48.0,89.0,57.0,36.0,32.0,15.0,16.0,,,,,2.0,195.0,,
5134,H2H 2-3,Yanina Wickmayer,2.0,5.0,8447109.0,3607759.0,,6.0,Yanina Wickmayer,34.0,3.0,1.0,46.0,14.0,43.0,27.0,14.0,16.0,6.0,8.0,,,,,1.0,94.0,,,6.0,1.12,R32,6-2 6-2,2016-09-26,Hard,https://matchstat.com/tennis/tournaments/w/Beijing/2016,Beijing,Simona Halep,6.0,4.0,8447109.0,3607760.0,,1.12,Simona Halep,60.0,7.0,5.0,48.0,28.0,42.0,20.0,17.0,22.0,15.0,8.0,,,,,2.0,94.0,,
